,6,3,3,5,2,8,1,2,7,3,4,5,3,5,2,5,4,4,2,6
6,Z,t,,,,Z,t,t,Z,,Z,t,,,,t,Z,,t,Z
2,t,t,Z,,,t,,,,,t,,,Z,,t,,t,,
5,Z,,,t,,Z,,,,,Z,,,t,,Z,,Z,,
3,,,,Z,,,,,Z,,,,,,,,,t,t,Z
6,Z,t,,,,Z,,,t,,,Z,t,Z,,Z,,Z,,
2,,,Z,,,t,,,Z,t,,,t,t,t,t,,,,
7,Z,t,t,,,Z,t,,t,t,Z,,Z,,Z,t,Z,,,Z
1,,t,,,,,,,Z,,,,,,,,,,,t
5,,Z,,Z,t,Z,,,,,,,Z,,,,,t,Z,
2,,,,,,t,,,,Z,t,,t,,,Z,,,,
2,,,Z,,Z,,,,t,,,t,,,,t,,,t,
7,Z,t,t,,t,t,Z,,Z,,,Z,,Z,t,t,Z,,Z,
1,,,,t,Z,,,,t,,,,,,t,,,,,
6,t,Z,,t,,,,,Z,,,Z,,,Z,t,Z,,,Z
2,,,,Z,,Z,,,,,,t,,,,,,,,t
6,,,,,,t,t,Z,,Z,,Z,,Z,,t,t,Z,t,Z
4,Z,,,Z,t,Z,,,,t,t,t,,t,,Z,,,,
3,t,,,,,t,,t,Z,,Z,t,Z,,,,,,,
5,t,Z,t,Z,,Z,,,,t,,,,,,,,Z,,Z
5,,,,,,t,,Z,t,Z,t,Z,t,Z,,Z,t,t,,t
